arm_id	estimator	genotype_class	conditioned_on_presence	replicate_index	allele_present	threshold_years	observed	n_null	p_value	significant
chb_nea_selection	gamma_smc_frac	overall	False	0	True	1000.0	0.0	100	1.0	False
chb_nea_selection	gamma_smc_frac	overall	False	1	True	1000.0	0.0	100	1.0	False
chb_nea_selection	gamma_smc_frac	overall	False	2	True	1000.0	0.0	100	1.0	False
chb_nea_selection	gamma_smc_frac	overall	False	3	True	1000.0	0.0	100	1.0	False
chb_nea_selection	gamma_smc_frac	overall	False	4	True	1000.0	0.0	100	1.0	False
chb_nea_selection	gamma_smc_frac	overall	False	5	True	1000.0	0.0	100	1.0	False
chb_nea_selection	gamma_smc_frac	overall	False	6	True	1000.0	0.0	100	1.0	False
chb_nea_selection	gamma_smc_frac	overall	False	7	True	1000.0	0.0	100	1.0	False
chb_nea_selection	gamma_smc_frac	overall	False	8	True	1000.0	0.0	100	1.0	False
chb_nea_selection	gamma_smc_frac	overall	False	9	True	1000.0	0.0	100	1.0	False
chb_nea_selection	gamma_smc_frac	overall	False	10	True	1000.0	0.0	100	1.0	False
chb_nea_selection	gamma_smc_frac	overall	False	11	True	1000.0	0.0	100	1.0	False
chb_nea_selection	gamma_smc_frac	overall	False	12	True	1000.0	0.0	100	1.0	False
chb_nea_selection	gamma_smc_frac	overall	False	13	True	1000.0	0.0	100	1.0	False
chb_nea_selection	gamma_smc_frac	overall	False	14	True	1000.0	0.0	100	1.0	False
chb_nea_selection	gamma_smc_frac	overall	False	15	True	1000.0	0.0	100	1.0	False
chb_nea_selection	gamma_smc_frac	overall	False	16	True	1000.0	0.0	100	1.0	False
chb_nea_selection	gamma_smc_frac	overall	False	17	True	1000.0	0.0	100	1.0	False
chb_nea_selection	gamma_smc_frac	overall	False	18	True	1000.0	0.0	100	1.0	False
chb_nea_selection	gamma_smc_frac	overall	False	19	True	1000.0	0.0	100	1.0	False
chb_nea_selection	gamma_smc_frac	overall	False	20	True	1000.0	0.0	100	1.0	False
chb_nea_selection	gamma_smc_frac	overall	False	21	True	1000.0	0.0	100	1.0	False
chb_nea_selection	gamma_smc_frac	overall	False	22	True	1000.0	0.01	100	0.0594059405940594	False
chb_nea_selection	gamma_smc_frac	overall	False	23	True	1000.0	0.0	100	1.0	False
chb_nea_selection	gamma_smc_frac	overall	False	24	True	1000.0	0.0	100	1.0	False
chb_nea_selection	gamma_smc_frac	overall	False	25	True	1000.0	0.0	100	1.0	False
chb_nea_selection	gamma_smc_frac	overall	False	26	True	1000.0	0.0	100	1.0	False
chb_nea_selection	gamma_smc_frac	overall	False	27	True	1000.0	0.0	100	1.0	False
chb_nea_selection	gamma_smc_frac	overall	False	28	True	1000.0	0.0	100	1.0	False
chb_nea_selection	gamma_smc_frac	overall	False	29	True	1000.0	0.0	100	1.0	False
chb_nea_selection	gamma_smc_frac	overall	False	30	True	1000.0	0.0	100	1.0	False
chb_nea_selection	gamma_smc_frac	overall	False	31	True	1000.0	0.0	100	1.0	False
chb_nea_selection	gamma_smc_frac	overall	False	32	True	1000.0	0.0	100	1.0	False
chb_nea_selection	gamma_smc_frac	overall	False	33	True	1000.0	0.0	100	1.0	False
chb_nea_selection	gamma_smc_frac	overall	False	34	True	1000.0	0.0	100	1.0	False
chb_nea_selection	gamma_smc_frac	overall	False	35	True	1000.0	0.0	100	1.0	False
chb_nea_selection	gamma_smc_frac	overall	False	36	True	1000.0	0.0	100	1.0	False
chb_nea_selection	gamma_smc_frac	overall	False	37	True	1000.0	0.0	100	1.0	False
chb_nea_selection	gamma_smc_frac	overall	False	38	True	1000.0	0.0	100	1.0	False
chb_nea_selection	gamma_smc_frac	overall	False	39	True	1000.0	0.0	100	1.0	False
chb_nea_selection	gamma_smc_frac	overall	False	40	True	1000.0	0.0	100	1.0	False
chb_nea_selection	gamma_smc_frac	overall	False	41	True	1000.0	0.01	100	0.0594059405940594	False
chb_nea_selection	gamma_smc_frac	overall	False	42	True	1000.0	0.0	100	1.0	False
