source,cutoff_years,alpha,stride_bp,max_gap_strides,min_significant_strides,mode,subset,n,power,fdr_mean,fdr_pooled,f1_mean,fp_mean,any_call,focal_significant,tp_total,fp_total,power_50000,overlap_power_50000,overlap_fdr_50000,power_100000,overlap_power_100000,overlap_fdr_100000,power_250000,overlap_power_250000,overlap_fdr_250000,power_500000,overlap_power_500000,overlap_fdr_500000
decoded,5000,0.001,50000,0,1,selected,all,100,0.07,0.09,0.5882352941176471,0.06333333333333332,0.1,0.15,0.05,7,10,0.06,0.07,0.09,0.07,0.07,0.09,0.07,0.07,0.09,0.08,0.08,0.08
decoded,5000,0.001,50000,0,1,selected,nonfixed,100,0.07,0.09,0.5882352941176471,0.06333333333333332,0.1,0.15,0.05,7,10,0.06,0.07,0.09,0.07,0.07,0.09,0.07,0.07,0.09,0.08,0.08,0.08
decoded,5000,0.001,50000,0,3,neutral,all,1000,0.0,0.019,1.0,0.0,0.019,0.019,0.001,0,19,0.0,0.0,0.019,0.0,0.0,0.019,0.0,0.0,0.019,0.0,0.0,0.019
decoded,5000,0.001,50000,0,3,selected,all,100,0.02,0.04,0.6666666666666666,0.02,0.04,0.06,0.05,2,4,0.01,0.02,0.04,0.02,0.02,0.04,0.02,0.02,0.04,0.02,0.02,0.04
decoded,5000,0.001,50000,0,3,selected,nonfixed,100,0.02,0.04,0.6666666666666666,0.02,0.04,0.06,0.05,2,4,0.01,0.02,0.04,0.02,0.02,0.04,0.02,0.02,0.04,0.02,0.02,0.04
decoded,5000,0.001,50000,0,5,neutral,all,1000,0.0,0.002,1.0,0.0,0.002,0.002,0.001,0,2,0.0,0.0,0.002,0.0,0.0,0.002,0.0,0.0,0.002,0.0,0.0,0.002
decoded,5000,0.001,50000,0,5,selected,all,100,0.01,0.0,0.0,0.01,0.0,0.01,0.05,1,0,0.0,0.01,0.0,0.01,0.01,0.0,0.01,0.01,0.0,0.01,0.01,0.0
decoded,5000,0.001,50000,0,5,selected,nonfixed,100,0.01,0.0,0.0,0.01,0.0,0.01,0.05,1,0,0.0,0.01,0.0,0.01,0.01,0.0,0.01,0.01,0.0,0.01,0.01,0.0
decoded,5000,0.001,50000,0,10,neutral,all,1000,0.0,0.0,,0.0,0.0,0.0,0.001,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
decoded,5000,0.001,50000,0,10,selected,all,100,0.0,0.0,,0.0,0.0,0.0,0.05,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
decoded,5000,0.001,50000,0,10,selected,nonfixed,100,0.0,0.0,,0.0,0.0,0.0,0.05,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
