selection_coefficient	replicate	realized_population_allele_frequency	focal_allele_outcome	ancestry_seconds	slim_seconds	center_fraction_recent	center_mean_tmrca_generations	window_10000_fraction_recent	window_100000_fraction_recent	neutral_plateau_fraction_recent	neutral_plateau_mean_tmrca_generations	center_fraction_recent_mc_p_upper	window_10000_fraction_recent_mc_p_upper	window_100000_fraction_recent_mc_p_upper	n_pairs_tmrca_lt_threshold
0.0	0	0.0	lost	17.412112899997737	2.5141026999917813	0.006	24636.225137533776	0.0059090909090909	0.0056287128712871	0.0092272727272727	19866.590414140363				12
0.0	1	0.0	lost	17.35114430001704	2.4110938999801874	0.0105	12857.365993800482	0.0104999999999999	0.0111336633663366	0.0077024793388429	19487.163866901643				21
0.0	2	0.0	lost	17.342750800016802	2.5269012000062503	0.0105	10127.954895543158	0.0104999999999999	0.0101386138613861	0.0088842975206611	20546.56794653689				21
0.0	3	0.0	lost	17.41284970002016	2.485865199996624	0.012	26105.967048082344	0.012	0.0121930693069306	0.0101198347107438	19819.412477768296				24
0.0	4	0.0	lost	17.419785899983253	2.567670000018552	0.0075	85249.6773712653	0.0075	0.0072376237623762	0.0105330578512396	19177.867049845296				15
0.0	5	0.0	lost	17.404544400051236	2.419589400000405	0.009	13187.635334414246	0.0089999999999999	0.0089108910891089	0.0077396694214876	19251.84019187204				18
0.0	6	0.0	lost	17.10994389996631	2.330932100012433	0.008	15646.21933931174	0.0076363636363636	0.0077079207920792	0.0083429752066115	20028.13528071929				16
0.0	7	0.0	lost	16.85116989997914	2.4432116000098176	0.012	11455.73075603573	0.0119090909090909	0.0111485148514851	0.0104999999999999	20137.07037783839				24
0.0	8	0.0	lost	16.59507660003146	2.713326300028712	0.012	11985.855791530064	0.012	0.0122623762376237	0.0118099173553719	20917.184370853207				24
0.0	9	0.0	lost	17.09841180004878	2.7983823000104167	0.0125	7803.1278839857	0.0121818181818181	0.0118762376237623	0.0070785123966942	19087.99890191156				25
0.0	10	0.0	lost	17.080249199992977	2.75230890000239	0.011	25716.11240480725	0.0109999999999999	0.0108811881188118	0.0097396694214876	19878.559374694083				22
0.0	11	0.0	lost	17.092521100013983	2.611707400006708	0.01	24685.59379074958	0.0099999999999999	0.0101485148514851	0.0095702479338842	19697.61536424674				20
0.0	12	0.0	lost	14.816900800040456	2.1578122000209987	0.011	23700.35705129296	0.0111818181818181	0.0102920792079207	0.0109008264462809	18614.13292948624				22
0.0	13	0.0	lost	14.013129299972206	2.735160000040196	0.0115	10697.896960910552	0.0116363636363636	0.0116732673267326	0.0069834710743801	20567.451560748057				23
0.0	14	0.0	lost	16.545461200003047	2.869172200036701	0.0105	8413.026734411518	0.010590909090909	0.0107326732673267	0.0102768595041322	20290.656049232814				21
0.0	15	0.0	lost	16.888790099998005	2.8379724000114948	0.007	26814.446657642104	0.007	0.00709900990099	0.0084132231404958	19717.601496494182				14
0.0	16	0.0	lost	10.33118390000891	3.0527825000463054	0.0105	17170.75750929498	0.0104999999999999	0.0102277227722772	0.0105	20057.152310076883				21
0.0	17	0.0	lost	12.447253399994224	2.7977729000267573	0.013	8347.92983592927	0.0128181818181818	0.0121831683168316	0.0071487603305785	20509.012771640027				26
0.0	18	0.0	lost	18.405495499959216	2.892486100026872	0.008	22294.000015117057	0.008	0.0079851485148514	0.0089586776859504	21018.87775934884				16
0.0	19	0.0	lost	17.755443100002594	3.0020496000070125	0.013	22966.108642349325	0.013090909090909	0.0127920792079207	0.010297520661157	19781.71011100356				26
0.0	20	0.0	lost	17.786793700011913	3.155848799971864	0.012	24312.43627450253	0.0120454545454545	0.0123019801980198	0.0100165289256198	21259.444097981625				24
0.0	21	0.0	lost	17.928258700005244	3.2028978999587707	0.004	9344.188010918915	0.004	0.0044405940594059	0.0089710743801652	19339.72434201752				8
0.0	22	0.0	lost	17.515785399999004	2.953038099978585	0.011	21991.31001844353	0.0109999999999999	0.0112475247524752	0.0090082644628099	20434.54465724305				22
0.0	23	0.0	lost	17.33923699997831	3.033129199990072	0.0095	12974.772484936297	0.0094999999999999	0.0094851485148514	0.0090330578512396	20547.04280067984				19
0.0	24	0.0	lost	12.104744300013408	3.487038199964445	0.011	13245.741996555273	0.0113636363636363	0.0117277227722772	0.0095578512396694	20335.780379351298				22
0.0	25	0.0	lost	12.340399199980313	3.7809749000007287	0.006	19091.98418976019	0.006090909090909	0.0060643564356435	0.0098884297520661	18621.41243748605				12
0.0	26	0.0	lost	15.756907000031788	2.4953839000081643	0.0105	24607.20845110399	0.0104545454545454	0.0104405940594059	0.0096611570247933	20611.44944033688				21
0.0	27	0.0	lost	15.072555100021418	2.7971870999899693	0.007	16036.190356906363	0.006590909090909	0.0063960396039603	0.0093512396694214	19384.87778920944				14
0.0	28	0.0	lost	15.952587399980985	2.555794699990656	0.007	24459.44119784872	0.0067727272727272	0.0069356435643564	0.0079586776859504	19006.069001265976				14
0.0	29	0.0	lost	15.97899050003616	2.58051559998421	0.012	31443.109159028485	0.012	0.0122128712871287	0.0113884297520661	18393.31801290849				24
0.0	30	0.0	lost	15.849761499965098	2.580490399966948	0.0085	38560.7001098232	0.0085	0.008529702970297	0.0068223140495867	19215.22589296288				17
0.0	31	0.0	lost	15.857483499974478	2.538153200002853	0.01	16193.752734993805	0.0099999999999999	0.0094851485148514	0.0094834710743801	19696.60674005661				20
0.0	32	0.0	lost	12.223658700007944	3.541326000005938	0.005	12119.528563027823	0.0049999999999999	0.0049702970297029	0.0083140495867768	19157.667269151105				10
0.0	33	0.0	lost	12.127593500015792	2.812872700043954	0.0065	9774.678613726206	0.0062727272727272	0.0058366336633663	0.0088595041322314	20295.96696487914				13
0.0	34	0.0	lost	15.719371600018349	3.1856491999933496	0.008	31988.57085649424	0.0081818181818181	0.0083118811881188	0.0084876033057851	19722.12852671709				16
0.0	35	0.0	lost	15.525056099984797	2.826400899968576	0.007	17247.088313846052	0.007	0.0069405940594059	0.0083347107438016	21226.13044640682				14
0.0	36	0.0	lost	14.531598899979144	3.1019251000252552	0.012	14002.175942300744	0.012	0.0114603960396039	0.0098099173553719	20204.8166505733				24
0.0	37	0.0	lost	15.585494600003583	2.906157799996436	0.0095	21778.153224245427	0.0096363636363636	0.0097772277227722	0.0093057851239669	20322.86351027338				19
0.0	38	0.0	lost	15.674347200023476	2.9606691999943	0.009	32855.34180992116	0.0089999999999999	0.0092524752475247	0.0091033057851239	19390.235099922826				18
0.0	39	0.0	lost	15.682123599981423	2.95108299999265	0.011	5798.82941454743	0.0109999999999999	0.0107227722772277	0.0077809917355371	21503.996309700746				22
0.0	40	0.0	lost	11.60536000004504	2.603618599998299	0.0115	17846.656200292262	0.011590909090909	0.0116386138613861	0.0092851239669421	19266.63063055564				23
0.0	41	0.0	lost	12.561626499984412	2.61519160005264	0.009	23099.63891341368	0.0089999999999999	0.0097524752475247	0.0088264462809917	21324.0536514464				18
0.0	42	0.0	lost	15.746804900001734	2.9402732999878936	0.0085	17733.352726734527	0.0085	0.0084702970297029	0.0088677685950413	20077.08555342465				17
0.0	43	0.0	lost	15.760807699989527	3.1497553999652155	0.0095	20343.458552922755	0.0094999999999999	0.0099207920792079	0.0074462809917355	21078.012729720143				19
0.0	44	0.0	lost	15.707065299968235	3.3004353000433184	0.0075	16057.087394579465	0.0075	0.0073019801980198	0.0087603305785123	20386.92329078025				15
0.0	45	0.0	lost	15.491811499989126	2.981047999986913	0.01	15803.89172722289	0.010090909090909	0.0102079207920792	0.0077727272727272	19983.63411323292				20
0.0	46	0.0	lost	15.59206890000496	3.11591039999621	0.008	13279.631907209252	0.008	0.0079702970297029	0.0087727272727272	19543.50538686788				16
0.0	47	0.0	lost	15.562370200001167	3.2766246999963187	0.012	10792.475668148623	0.0120454545454545	0.0115643564356435	0.007793388429752	20499.93206939568				24
