operating_point,scheme,source,cohort,key,fold,mass_called,contrast_called
regional_p_0.05,grid10kb,truth,selected,onset50000/rep0024,1,False,False
regional_p_0.05,grid10kb,truth,selected,onset50000/rep0025,0,False,False
regional_p_0.05,grid10kb,truth,selected,onset50000/rep0026,2,False,False
regional_p_0.05,grid10kb,truth,selected,onset50000/rep0027,0,True,True
regional_p_0.05,grid10kb,truth,selected,onset50000/rep0028,2,False,True
regional_p_0.05,grid10kb,truth,selected,onset50000/rep0029,0,True,True
regional_p_0.05,grid10kb,truth,selected,onset50000/rep0030,0,True,False
regional_p_0.05,grid10kb,truth,selected,onset50000/rep0031,4,True,True
regional_p_0.05,grid10kb,truth,selected,onset50000/rep0032,4,True,True
regional_p_0.05,grid10kb,truth,selected,onset50000/rep0033,4,False,False
regional_p_0.05,grid10kb,truth,selected,onset50000/rep0034,2,True,True
regional_p_0.05,grid10kb,truth,selected,onset50000/rep0035,4,True,True
regional_p_0.05,grid10kb,truth,selected,onset50000/rep0036,4,True,True
regional_p_0.05,grid10kb,truth,selected,onset50000/rep0037,1,True,True
regional_p_0.05,grid10kb,truth,selected,onset50000/rep0038,1,True,True
regional_p_0.05,grid10kb,truth,selected,onset50000/rep0039,3,True,True
regional_p_0.05,grid10kb,truth,selected,onset50000/rep0040,0,True,True
regional_p_0.05,grid10kb,truth,selected,onset50000/rep0041,0,True,True
regional_p_0.05,grid10kb,truth,selected,onset50000/rep0042,2,False,False
regional_p_0.05,grid10kb,truth,selected,onset50000/rep0043,0,True,True
regional_p_0.05,grid10kb,truth,selected,onset50000/rep0044,4,True,True
regional_p_0.05,grid10kb,truth,selected,onset50000/rep0045,0,True,True
regional_p_0.05,grid10kb,truth,selected,onset50000/rep0046,0,True,True
regional_p_0.05,grid10kb,truth,selected,onset50000/rep0047,0,True,True
regional_p_0.05,grid10kb,truth,selected,onset50000/rep0048,3,True,True
regional_p_0.05,grid10kb,truth,selected,onset50000/rep0049,3,True,True
regional_p_0.05,grid10kb,truth,selected,onset50000/rep0050,2,True,True
regional_p_0.05,grid10kb,truth,selected,onset50000/rep0051,3,False,False
regional_p_0.05,grid10kb,truth,selected,onset50000/rep0052,1,True,True
regional_p_0.05,grid10kb,truth,selected,onset50000/rep0053,0,True,False
regional_p_0.05,grid10kb,truth,selected,onset50000/rep0054,3,False,False
regional_p_0.05,grid10kb,truth,selected,onset50000/rep0055,0,True,True
regional_p_0.05,grid10kb,truth,selected,onset50000/rep0056,2,True,True
regional_p_0.05,grid10kb,truth,selected,onset50000/rep0057,1,True,True
regional_p_0.05,grid10kb,truth,selected,onset50000/rep0058,1,True,True
regional_p_0.05,grid10kb,truth,selected,onset50000/rep0059,4,True,True
regional_p_0.05,grid10kb,truth,selected,onset50000/rep0060,1,True,True
regional_p_0.05,grid10kb,truth,selected,onset50000/rep0061,4,True,True
regional_p_0.05,grid10kb,truth,selected,onset50000/rep0062,1,True,True
regional_p_0.05,grid10kb,truth,selected,onset50000/rep0063,2,True,True
regional_p_0.05,grid10kb,truth,selected,onset50000/rep0064,1,True,True
regional_p_0.05,grid10kb,truth,selected,onset50000/rep0065,3,True,True
regional_p_0.05,grid10kb,truth,selected,onset50000/rep0066,1,False,False
regional_p_0.05,grid10kb,truth,selected,onset50000/rep0067,1,False,False
regional_p_0.05,grid10kb,truth,selected,onset50000/rep0068,4,True,True
regional_p_0.05,grid10kb,truth,selected,onset50000/rep0069,3,False,True
regional_p_0.05,grid10kb,truth,selected,onset50000/rep0070,0,True,True
regional_p_0.05,grid10kb,truth,selected,onset50000/rep0071,0,True,True
regional_p_0.05,grid10kb,truth,selected,onset50000/rep0072,3,False,True
regional_p_0.05,grid10kb,truth,selected,onset50000/rep0073,3,True,False
regional_p_0.05,grid10kb,truth,selected,onset50000/rep0074,3,True,True
regional_p_0.05,grid10kb,truth,selected,onset50000/rep0075,2,True,True
regional_p_0.05,grid10kb,truth,selected,onset50000/rep0076,1,False,False
regional_p_0.05,grid10kb,truth,selected,onset50000/rep0077,4,True,True
regional_p_0.05,grid10kb,truth,selected,onset50000/rep0078,2,True,True
regional_p_0.05,grid10kb,truth,selected,onset50000/rep0079,0,True,True
regional_p_0.05,grid10kb,truth,selected,onset50000/rep0080,3,True,True
regional_p_0.05,grid10kb,truth,selected,onset50000/rep0081,2,True,True
regional_p_0.05,grid10kb,truth,selected,onset50000/rep0082,3,True,True
regional_p_0.05,grid10kb,truth,selected,onset50000/rep0083,4,True,True
regional_p_0.05,grid10kb,truth,selected,onset50000/rep0084,4,True,True
regional_p_0.05,grid10kb,truth,selected,onset50000/rep0085,2,True,True
regional_p_0.05,grid10kb,truth,selected,onset50000/rep0086,3,True,True
regional_p_0.05,grid10kb,truth,selected,onset50000/rep0087,1,True,True
regional_p_0.05,grid10kb,truth,selected,onset50000/rep0088,3,True,False
regional_p_0.05,grid10kb,truth,selected,onset50000/rep0089,1,True,True
regional_p_0.05,grid10kb,truth,selected,onset50000/rep0090,1,True,True
regional_p_0.05,grid10kb,truth,selected,onset50000/rep0091,2,True,True
regional_p_0.05,grid10kb,truth,selected,onset50000/rep0092,3,True,True
regional_p_0.05,grid10kb,truth,selected,onset50000/rep0093,2,False,False
regional_p_0.05,grid10kb,truth,selected,onset50000/rep0094,1,True,True
regional_p_0.05,grid10kb,truth,selected,onset50000/rep0095,0,True,True
regional_p_0.05,grid10kb,truth,selected,onset50000/rep0096,4,True,False
regional_p_0.05,grid10kb,truth,selected,onset50000/rep0097,4,True,True
regional_p_0.05,grid10kb,truth,selected,onset50000/rep0098,1,True,True
regional_p_0.05,grid10kb,truth,selected,onset50000/rep0099,0,False,False
regional_p_0.05,grid10kb,truth,neutral,neutral/rep0000,1,False,False
regional_p_0.05,grid10kb,truth,neutral,neutral/rep0001,3,False,False
regional_p_0.05,grid10kb,truth,neutral,neutral/rep0002,4,False,False
regional_p_0.05,grid10kb,truth,neutral,neutral/rep0003,3,False,False
regional_p_0.05,grid10kb,truth,neutral,neutral/rep0004,4,False,False
regional_p_0.05,grid10kb,truth,neutral,neutral/rep0005,3,True,True
regional_p_0.05,grid10kb,truth,neutral,neutral/rep0006,4,False,False
regional_p_0.05,grid10kb,truth,neutral,neutral/rep0007,3,False,False
regional_p_0.05,grid10kb,truth,neutral,neutral/rep0008,4,False,False
regional_p_0.05,grid10kb,truth,neutral,neutral/rep0009,0,False,False
regional_p_0.05,grid10kb,truth,neutral,neutral/rep0010,4,False,False
regional_p_0.05,grid10kb,truth,neutral,neutral/rep0011,3,False,False
regional_p_0.05,grid10kb,truth,neutral,neutral/rep0012,3,False,False
regional_p_0.05,grid10kb,truth,neutral,neutral/rep0013,2,False,False
regional_p_0.05,grid10kb,truth,neutral,neutral/rep0014,2,False,False
regional_p_0.05,grid10kb,truth,neutral,neutral/rep0015,4,False,False
regional_p_0.05,grid10kb,truth,neutral,neutral/rep0016,1,False,False
regional_p_0.05,grid10kb,truth,neutral,neutral/rep0017,0,False,False
regional_p_0.05,grid10kb,truth,neutral,neutral/rep0018,3,False,False
regional_p_0.05,grid10kb,truth,neutral,neutral/rep0019,1,False,False
regional_p_0.05,grid10kb,truth,neutral,neutral/rep0020,4,False,False
regional_p_0.05,grid10kb,truth,neutral,neutral/rep0021,1,False,False
regional_p_0.05,grid10kb,truth,neutral,neutral/rep0022,1,False,False
regional_p_0.05,grid10kb,truth,neutral,neutral/rep0023,3,False,False
regional_p_0.05,grid10kb,truth,neutral,neutral/rep0024,2,False,False
regional_p_0.05,grid10kb,truth,neutral,neutral/rep0025,4,False,False
regional_p_0.05,grid10kb,truth,neutral,neutral/rep0026,3,False,False
regional_p_0.05,grid10kb,truth,neutral,neutral/rep0027,0,False,False
regional_p_0.05,grid10kb,truth,neutral,neutral/rep0028,4,False,False
regional_p_0.05,grid10kb,truth,neutral,neutral/rep0029,2,False,False
regional_p_0.05,grid10kb,truth,neutral,neutral/rep0030,4,False,False
regional_p_0.05,grid10kb,truth,neutral,neutral/rep0031,4,False,False
regional_p_0.05,grid10kb,truth,neutral,neutral/rep0032,4,False,False
regional_p_0.05,grid10kb,truth,neutral,neutral/rep0033,3,False,False
regional_p_0.05,grid10kb,truth,neutral,neutral/rep0034,2,False,False
regional_p_0.05,grid10kb,truth,neutral,neutral/rep0035,1,False,False
regional_p_0.05,grid10kb,truth,neutral,neutral/rep0036,0,False,False
regional_p_0.05,grid10kb,truth,neutral,neutral/rep0037,0,False,False
regional_p_0.05,grid10kb,truth,neutral,neutral/rep0038,4,False,False
regional_p_0.05,grid10kb,truth,neutral,neutral/rep0039,3,False,False
regional_p_0.05,grid10kb,truth,neutral,neutral/rep0040,2,False,False
regional_p_0.05,grid10kb,truth,neutral,neutral/rep0041,0,False,False
regional_p_0.05,grid10kb,truth,neutral,neutral/rep0042,4,False,False
regional_p_0.05,grid10kb,truth,neutral,neutral/rep0043,2,False,False
regional_p_0.05,grid10kb,truth,neutral,neutral/rep0044,4,False,False
regional_p_0.05,grid10kb,truth,neutral,neutral/rep0045,4,False,False
regional_p_0.05,grid10kb,truth,neutral,neutral/rep0046,4,False,False
regional_p_0.05,grid10kb,truth,neutral,neutral/rep0047,3,False,False
regional_p_0.05,grid10kb,truth,neutral,neutral/rep0048,3,False,False
regional_p_0.05,grid10kb,truth,neutral,neutral/rep0049,2,False,False
regional_p_0.05,grid10kb,truth,neutral,neutral/rep0050,4,True,True
regional_p_0.05,grid10kb,truth,neutral,neutral/rep0051,4,True,True
regional_p_0.05,grid10kb,truth,neutral,neutral/rep0052,2,False,False
regional_p_0.05,grid10kb,truth,neutral,neutral/rep0053,2,False,False
regional_p_0.05,grid10kb,truth,neutral,neutral/rep0054,1,False,False
regional_p_0.05,grid10kb,truth,neutral,neutral/rep0055,4,False,False
regional_p_0.05,grid10kb,truth,neutral,neutral/rep0056,1,False,False
regional_p_0.05,grid10kb,truth,neutral,neutral/rep0057,1,False,False
regional_p_0.05,grid10kb,truth,neutral,neutral/rep0058,0,False,False
regional_p_0.05,grid10kb,truth,neutral,neutral/rep0059,0,False,False
regional_p_0.05,grid10kb,truth,neutral,neutral/rep0060,3,False,False
regional_p_0.05,grid10kb,truth,neutral,neutral/rep0061,1,False,False
regional_p_0.05,grid10kb,truth,neutral,neutral/rep0062,2,False,False
regional_p_0.05,grid10kb,truth,neutral,neutral/rep0063,3,False,False
regional_p_0.05,grid10kb,truth,neutral,neutral/rep0064,4,False,False
regional_p_0.05,grid10kb,truth,neutral,neutral/rep0065,0,False,False
regional_p_0.05,grid10kb,truth,neutral,neutral/rep0066,2,False,False
regional_p_0.05,grid10kb,truth,neutral,neutral/rep0067,2,False,False
regional_p_0.05,grid10kb,truth,neutral,neutral/rep0068,1,False,False
regional_p_0.05,grid10kb,truth,neutral,neutral/rep0069,3,False,False
regional_p_0.05,grid10kb,truth,neutral,neutral/rep0070,3,False,False
regional_p_0.05,grid10kb,truth,neutral,neutral/rep0071,1,False,False
regional_p_0.05,grid10kb,truth,neutral,neutral/rep0072,4,False,False
regional_p_0.05,grid10kb,truth,neutral,neutral/rep0073,4,False,False
regional_p_0.05,grid10kb,truth,neutral,neutral/rep0074,1,False,False
regional_p_0.05,grid10kb,truth,neutral,neutral/rep0075,3,False,False
regional_p_0.05,grid10kb,truth,neutral,neutral/rep0076,0,False,True
regional_p_0.05,grid10kb,truth,neutral,neutral/rep0077,4,False,False
regional_p_0.05,grid10kb,truth,neutral,neutral/rep0078,3,False,False
regional_p_0.05,grid10kb,truth,neutral,neutral/rep0079,1,False,False
regional_p_0.05,grid10kb,truth,neutral,neutral/rep0080,4,False,True
regional_p_0.05,grid10kb,truth,neutral,neutral/rep0081,2,False,False
regional_p_0.05,grid10kb,truth,neutral,neutral/rep0082,1,False,False
regional_p_0.05,grid10kb,truth,neutral,neutral/rep0083,0,True,True
regional_p_0.05,grid10kb,truth,neutral,neutral/rep0084,1,False,False
regional_p_0.05,grid10kb,truth,neutral,neutral/rep0085,3,False,False
regional_p_0.05,grid10kb,truth,neutral,neutral/rep0086,3,False,False
regional_p_0.05,grid10kb,truth,neutral,neutral/rep0087,0,False,False
regional_p_0.05,grid10kb,truth,neutral,neutral/rep0088,0,False,False
regional_p_0.05,grid10kb,truth,neutral,neutral/rep0089,0,False,False
regional_p_0.05,grid10kb,truth,neutral,neutral/rep0090,2,True,True
regional_p_0.05,grid10kb,truth,neutral,neutral/rep0091,1,False,False
regional_p_0.05,grid10kb,truth,neutral,neutral/rep0092,3,False,False
regional_p_0.05,grid10kb,truth,neutral,neutral/rep0093,0,False,False
regional_p_0.05,grid10kb,truth,neutral,neutral/rep0094,3,False,False
regional_p_0.05,grid10kb,truth,neutral,neutral/rep0095,0,False,False
regional_p_0.05,grid10kb,truth,neutral,neutral/rep0096,3,False,False
regional_p_0.05,grid10kb,truth,neutral,neutral/rep0097,3,False,False
regional_p_0.05,grid10kb,truth,neutral,neutral/rep0098,1,False,False
regional_p_0.05,grid10kb,truth,neutral,neutral/rep0099,4,False,False
regional_p_0.05,grid10kb,truth,neutral,neutral/rep0100,1,True,True
regional_p_0.05,grid10kb,truth,neutral,neutral/rep0101,1,False,False
regional_p_0.05,grid10kb,truth,neutral,neutral/rep0102,1,False,False
regional_p_0.05,grid10kb,truth,neutral,neutral/rep0103,0,False,False
regional_p_0.05,grid10kb,truth,neutral,neutral/rep0104,4,False,False
regional_p_0.05,grid10kb,truth,neutral,neutral/rep0105,0,False,False
regional_p_0.05,grid10kb,truth,neutral,neutral/rep0106,1,False,False
regional_p_0.05,grid10kb,truth,neutral,neutral/rep0107,1,False,False
regional_p_0.05,grid10kb,truth,neutral,neutral/rep0108,3,False,False
regional_p_0.05,grid10kb,truth,neutral,neutral/rep0109,0,False,False
regional_p_0.05,grid10kb,truth,neutral,neutral/rep0110,4,False,False
regional_p_0.05,grid10kb,truth,neutral,neutral/rep0111,0,False,False
regional_p_0.05,grid10kb,truth,neutral,neutral/rep0112,3,False,False
regional_p_0.05,grid10kb,truth,neutral,neutral/rep0113,2,False,False
regional_p_0.05,grid10kb,truth,neutral,neutral/rep0114,4,False,False
regional_p_0.05,grid10kb,truth,neutral,neutral/rep0115,4,False,False
regional_p_0.05,grid10kb,truth,neutral,neutral/rep0116,1,False,False
regional_p_0.05,grid10kb,truth,neutral,neutral/rep0117,0,False,False
regional_p_0.05,grid10kb,truth,neutral,neutral/rep0118,0,False,False
regional_p_0.05,grid10kb,truth,neutral,neutral/rep0119,1,False,False
regional_p_0.05,grid10kb,truth,neutral,neutral/rep0120,1,False,False
regional_p_0.05,grid10kb,truth,neutral,neutral/rep0121,3,False,False
regional_p_0.05,grid10kb,truth,neutral,neutral/rep0122,1,False,False
regional_p_0.05,grid10kb,truth,neutral,neutral/rep0123,4,False,False
regional_p_0.05,grid10kb,truth,neutral,neutral/rep0124,0,False,False
regional_p_0.05,grid10kb,truth,neutral,neutral/rep0125,3,False,False
regional_p_0.05,grid10kb,truth,neutral,neutral/rep0126,0,False,False
regional_p_0.05,grid10kb,truth,neutral,neutral/rep0127,2,False,False
regional_p_0.05,grid10kb,truth,neutral,neutral/rep0128,3,False,False
regional_p_0.05,grid10kb,truth,neutral,neutral/rep0129,2,False,False
regional_p_0.05,grid10kb,truth,neutral,neutral/rep0130,2,False,False
regional_p_0.05,grid10kb,truth,neutral,neutral/rep0131,2,False,False
regional_p_0.05,grid10kb,truth,neutral,neutral/rep0132,2,False,False
regional_p_0.05,grid10kb,truth,neutral,neutral/rep0133,3,False,False
regional_p_0.05,grid10kb,truth,neutral,neutral/rep0134,4,False,False
regional_p_0.05,grid10kb,truth,neutral,neutral/rep0135,2,False,False
regional_p_0.05,grid10kb,truth,neutral,neutral/rep0136,3,False,False
regional_p_0.05,grid10kb,truth,neutral,neutral/rep0137,4,True,True
regional_p_0.05,grid10kb,truth,neutral,neutral/rep0138,2,False,False
regional_p_0.05,grid10kb,truth,neutral,neutral/rep0139,3,False,False
regional_p_0.05,grid10kb,truth,neutral,neutral/rep0140,4,False,False
regional_p_0.05,grid10kb,truth,neutral,neutral/rep0141,1,False,False
regional_p_0.05,grid10kb,truth,neutral,neutral/rep0142,1,False,False
regional_p_0.05,grid10kb,truth,neutral,neutral/rep0143,1,False,False
regional_p_0.05,grid10kb,truth,neutral,neutral/rep0144,4,False,False
regional_p_0.05,grid10kb,truth,neutral,neutral/rep0145,0,False,False
regional_p_0.05,grid10kb,truth,neutral,neutral/rep0146,1,False,False
regional_p_0.05,grid10kb,truth,neutral,neutral/rep0147,1,False,False
regional_p_0.05,grid10kb,truth,neutral,neutral/rep0148,0,False,False
regional_p_0.05,grid10kb,truth,neutral,neutral/rep0149,4,False,False
regional_p_0.05,grid10kb,truth,neutral,neutral/rep0150,4,False,False
regional_p_0.05,grid10kb,truth,neutral,neutral/rep0151,1,False,False
regional_p_0.05,grid10kb,truth,neutral,neutral/rep0152,1,False,False
regional_p_0.05,grid10kb,truth,neutral,neutral/rep0153,3,False,False
regional_p_0.05,grid10kb,truth,neutral,neutral/rep0154,0,False,False
regional_p_0.05,grid10kb,truth,neutral,neutral/rep0155,2,False,False
regional_p_0.05,grid10kb,truth,neutral,neutral/rep0156,4,False,False
regional_p_0.05,grid10kb,truth,neutral,neutral/rep0157,2,False,False
regional_p_0.05,grid10kb,truth,neutral,neutral/rep0158,1,False,False
regional_p_0.05,grid10kb,truth,neutral,neutral/rep0159,0,False,False
regional_p_0.05,grid10kb,truth,neutral,neutral/rep0160,0,False,False
regional_p_0.05,grid10kb,truth,neutral,neutral/rep0161,0,False,False
regional_p_0.05,grid10kb,truth,neutral,neutral/rep0162,1,False,False
regional_p_0.05,grid10kb,truth,neutral,neutral/rep0163,0,False,False
regional_p_0.05,grid10kb,truth,neutral,neutral/rep0164,3,False,False
regional_p_0.05,grid10kb,truth,neutral,neutral/rep0165,0,False,False
regional_p_0.05,grid10kb,truth,neutral,neutral/rep0166,2,False,False
regional_p_0.05,grid10kb,truth,neutral,neutral/rep0167,4,True,True
regional_p_0.05,grid10kb,truth,neutral,neutral/rep0168,3,False,False
regional_p_0.05,grid10kb,truth,neutral,neutral/rep0169,0,False,False
regional_p_0.05,grid10kb,truth,neutral,neutral/rep0170,4,False,False
regional_p_0.05,grid10kb,truth,neutral,neutral/rep0171,3,False,False
regional_p_0.05,grid10kb,truth,neutral,neutral/rep0172,3,False,False
regional_p_0.05,grid10kb,truth,neutral,neutral/rep0173,1,True,True
regional_p_0.05,grid10kb,truth,neutral,neutral/rep0174,3,False,False
regional_p_0.05,grid10kb,truth,neutral,neutral/rep0175,2,False,False
regional_p_0.05,grid10kb,truth,neutral,neutral/rep0176,3,False,False
regional_p_0.05,grid10kb,truth,neutral,neutral/rep0177,0,False,False
regional_p_0.05,grid10kb,truth,neutral,neutral/rep0178,1,False,False
regional_p_0.05,grid10kb,truth,neutral,neutral/rep0179,3,True,True
regional_p_0.05,grid10kb,truth,neutral,neutral/rep0180,3,False,False
regional_p_0.05,grid10kb,truth,neutral,neutral/rep0181,2,False,False
regional_p_0.05,grid10kb,truth,neutral,neutral/rep0182,0,False,False
regional_p_0.05,grid10kb,truth,neutral,neutral/rep0183,3,False,False
regional_p_0.05,grid10kb,truth,neutral,neutral/rep0184,0,False,False
regional_p_0.05,grid10kb,truth,neutral,neutral/rep0185,4,False,False
regional_p_0.05,grid10kb,truth,neutral,neutral/rep0186,1,False,True
regional_p_0.05,grid10kb,truth,neutral,neutral/rep0187,3,False,False
regional_p_0.05,grid10kb,truth,neutral,neutral/rep0188,4,False,False
regional_p_0.05,grid10kb,truth,neutral,neutral/rep0189,4,False,False
regional_p_0.05,grid10kb,truth,neutral,neutral/rep0190,1,False,False
regional_p_0.05,grid10kb,truth,neutral,neutral/rep0191,3,False,False
regional_p_0.05,grid10kb,truth,neutral,neutral/rep0192,3,False,False
regional_p_0.05,grid10kb,truth,neutral,neutral/rep0193,0,False,False
regional_p_0.05,grid10kb,truth,neutral,neutral/rep0194,2,False,False
regional_p_0.05,grid10kb,truth,neutral,neutral/rep0195,0,True,True
regional_p_0.05,grid10kb,truth,neutral,neutral/rep0196,2,False,False
regional_p_0.05,grid10kb,truth,neutral,neutral/rep0197,0,False,False
regional_p_0.05,grid10kb,truth,neutral,neutral/rep0198,2,False,False
regional_p_0.05,grid10kb,truth,neutral,neutral/rep0199,4,False,False
regional_p_0.05,grid10kb,truth,neutral,neutral/rep0200,3,False,False
regional_p_0.05,grid10kb,truth,neutral,neutral/rep0201,1,False,False
regional_p_0.05,grid10kb,truth,neutral,neutral/rep0202,2,False,False
regional_p_0.05,grid10kb,truth,neutral,neutral/rep0203,3,False,False
regional_p_0.05,grid10kb,truth,neutral,neutral/rep0204,3,False,False
regional_p_0.05,grid10kb,truth,neutral,neutral/rep0205,2,False,False
regional_p_0.05,grid10kb,truth,neutral,neutral/rep0206,2,False,False
regional_p_0.05,grid10kb,truth,neutral,neutral/rep0207,0,False,False
regional_p_0.05,grid10kb,truth,neutral,neutral/rep0208,2,False,False
regional_p_0.05,grid10kb,truth,neutral,neutral/rep0209,3,False,False
regional_p_0.05,grid10kb,truth,neutral,neutral/rep0210,2,True,True
regional_p_0.05,grid10kb,truth,neutral,neutral/rep0211,4,False,False
regional_p_0.05,grid10kb,truth,neutral,neutral/rep0212,3,False,False
regional_p_0.05,grid10kb,truth,neutral,neutral/rep0213,3,False,False
regional_p_0.05,grid10kb,truth,neutral,neutral/rep0214,4,False,False
regional_p_0.05,grid10kb,truth,neutral,neutral/rep0215,0,False,False
regional_p_0.05,grid10kb,truth,neutral,neutral/rep0216,0,False,False
regional_p_0.05,grid10kb,truth,neutral,neutral/rep0217,2,False,False
regional_p_0.05,grid10kb,truth,neutral,neutral/rep0218,3,False,False
regional_p_0.05,grid10kb,truth,neutral,neutral/rep0219,1,False,False
regional_p_0.05,grid10kb,truth,neutral,neutral/rep0220,0,False,False
regional_p_0.05,grid10kb,truth,neutral,neutral/rep0221,0,False,False
regional_p_0.05,grid10kb,truth,neutral,neutral/rep0222,2,False,False
regional_p_0.05,grid10kb,truth,neutral,neutral/rep0223,4,False,False
regional_p_0.05,grid10kb,truth,neutral,neutral/rep0224,3,False,False
regional_p_0.05,grid10kb,truth,neutral,neutral/rep0225,4,False,False
regional_p_0.05,grid10kb,truth,neutral,neutral/rep0226,2,False,False
regional_p_0.05,grid10kb,truth,neutral,neutral/rep0227,3,False,False
regional_p_0.05,grid10kb,truth,neutral,neutral/rep0228,3,False,False
regional_p_0.05,grid10kb,truth,neutral,neutral/rep0229,2,False,False
regional_p_0.05,grid10kb,truth,neutral,neutral/rep0230,0,False,False
regional_p_0.05,grid10kb,truth,neutral,neutral/rep0231,2,False,False
regional_p_0.05,grid10kb,truth,neutral,neutral/rep0232,0,False,False
regional_p_0.05,grid10kb,truth,neutral,neutral/rep0233,1,False,False
regional_p_0.05,grid10kb,truth,neutral,neutral/rep0234,2,False,False
regional_p_0.05,grid10kb,truth,neutral,neutral/rep0235,2,False,False
regional_p_0.05,grid10kb,truth,neutral,neutral/rep0236,2,False,False
regional_p_0.05,grid10kb,truth,neutral,neutral/rep0237,4,False,False
regional_p_0.05,grid10kb,truth,neutral,neutral/rep0238,0,False,False
regional_p_0.05,grid10kb,truth,neutral,neutral/rep0239,2,False,False
regional_p_0.05,grid10kb,truth,neutral,neutral/rep0240,2,True,True
regional_p_0.05,grid10kb,truth,neutral,neutral/rep0241,4,False,False
regional_p_0.05,grid10kb,truth,neutral,neutral/rep0242,1,False,False
regional_p_0.05,grid10kb,truth,neutral,neutral/rep0243,1,True,True
regional_p_0.05,grid10kb,truth,neutral,neutral/rep0244,1,False,False
regional_p_0.05,grid10kb,truth,neutral,neutral/rep0245,1,False,False
regional_p_0.05,grid10kb,truth,neutral,neutral/rep0246,1,False,False
regional_p_0.05,grid10kb,truth,neutral,neutral/rep0247,2,False,False
regional_p_0.05,grid10kb,truth,neutral,neutral/rep0248,2,False,False
regional_p_0.05,grid10kb,truth,neutral,neutral/rep0249,0,False,False
regional_p_0.05,grid10kb,truth,neutral,neutral/rep0250,0,False,False
regional_p_0.05,grid10kb,truth,neutral,neutral/rep0251,3,False,False
regional_p_0.05,grid10kb,truth,neutral,neutral/rep0252,1,False,False
regional_p_0.05,grid10kb,truth,neutral,neutral/rep0253,0,True,True
regional_p_0.05,grid10kb,truth,neutral,neutral/rep0254,2,False,False
regional_p_0.05,grid10kb,truth,neutral,neutral/rep0255,3,False,False
regional_p_0.05,grid10kb,truth,neutral,neutral/rep0256,4,False,False
regional_p_0.05,grid10kb,truth,neutral,neutral/rep0257,3,False,False
regional_p_0.05,grid10kb,truth,neutral,neutral/rep0258,3,False,False
regional_p_0.05,grid10kb,truth,neutral,neutral/rep0259,3,False,False
regional_p_0.05,grid10kb,truth,neutral,neutral/rep0260,1,False,False
regional_p_0.05,grid10kb,truth,neutral,neutral/rep0261,0,False,False
regional_p_0.05,grid10kb,truth,neutral,neutral/rep0262,3,False,False
regional_p_0.05,grid10kb,truth,neutral,neutral/rep0263,0,False,False
regional_p_0.05,grid10kb,truth,neutral,neutral/rep0264,0,False,False
regional_p_0.05,grid10kb,truth,neutral,neutral/rep0265,0,False,False
regional_p_0.05,grid10kb,truth,neutral,neutral/rep0266,1,False,False
regional_p_0.05,grid10kb,truth,neutral,neutral/rep0267,2,False,False
regional_p_0.05,grid10kb,truth,neutral,neutral/rep0268,1,False,False
regional_p_0.05,grid10kb,truth,neutral,neutral/rep0269,1,False,False
regional_p_0.05,grid10kb,truth,neutral,neutral/rep0270,1,False,False
regional_p_0.05,grid10kb,truth,neutral,neutral/rep0271,1,False,False
regional_p_0.05,grid10kb,truth,neutral,neutral/rep0272,1,False,False
regional_p_0.05,grid10kb,truth,neutral,neutral/rep0273,4,False,False
regional_p_0.05,grid10kb,truth,neutral,neutral/rep0274,4,False,False
regional_p_0.05,grid10kb,truth,neutral,neutral/rep0275,0,False,False
regional_p_0.05,grid10kb,truth,neutral,neutral/rep0276,0,False,False
regional_p_0.05,grid10kb,truth,neutral,neutral/rep0277,0,False,False
regional_p_0.05,grid10kb,truth,neutral,neutral/rep0278,2,False,False
regional_p_0.05,grid10kb,truth,neutral,neutral/rep0279,4,False,False
regional_p_0.05,grid10kb,truth,neutral,neutral/rep0280,2,False,False
regional_p_0.05,grid10kb,truth,neutral,neutral/rep0281,1,False,False
regional_p_0.05,grid10kb,truth,neutral,neutral/rep0282,2,False,False
regional_p_0.05,grid10kb,truth,neutral,neutral/rep0283,1,False,False
regional_p_0.05,grid10kb,truth,neutral,neutral/rep0284,0,False,False
regional_p_0.05,grid10kb,truth,neutral,neutral/rep0285,4,False,False
regional_p_0.05,grid10kb,truth,neutral,neutral/rep0286,3,False,False
regional_p_0.05,grid10kb,truth,neutral,neutral/rep0287,1,False,False
regional_p_0.05,grid10kb,truth,neutral,neutral/rep0288,2,False,False
regional_p_0.05,grid10kb,truth,neutral,neutral/rep0289,1,False,False
regional_p_0.05,grid10kb,truth,neutral,neutral/rep0290,1,False,False
regional_p_0.05,grid10kb,truth,neutral,neutral/rep0291,2,False,False
regional_p_0.05,grid10kb,truth,neutral,neutral/rep0292,2,False,False
regional_p_0.05,grid10kb,truth,neutral,neutral/rep0293,0,False,False
regional_p_0.05,grid10kb,truth,neutral,neutral/rep0294,4,False,False
regional_p_0.05,grid10kb,truth,neutral,neutral/rep0295,0,False,False
regional_p_0.05,grid10kb,truth,neutral,neutral/rep0296,2,False,False
regional_p_0.05,grid10kb,truth,neutral,neutral/rep0297,0,False,False
regional_p_0.05,grid10kb,truth,neutral,neutral/rep0298,1,False,False
regional_p_0.05,grid10kb,truth,neutral,neutral/rep0299,0,False,False
regional_p_0.05,grid10kb,truth,neutral,neutral/rep0300,2,False,False
