key,position_bp,decoded_all_T50000
neutral/rep0286,0,0.077
neutral/rep0286,10000,0.1358
neutral/rep0286,20000,0.1599
neutral/rep0286,30000,0.2546
neutral/rep0286,40000,0.2753
neutral/rep0286,50000,0.2073
neutral/rep0286,60000,0.195
neutral/rep0286,70000,0.1958
neutral/rep0286,80000,0.1731
neutral/rep0286,90000,0.155
neutral/rep0286,100000,0.1492
neutral/rep0286,110000,0.1356
neutral/rep0286,120000,0.1323
neutral/rep0286,130000,0.1396
neutral/rep0286,140000,0.1317
neutral/rep0286,150000,0.1326
neutral/rep0286,160000,0.1283
neutral/rep0286,170000,0.1354
neutral/rep0286,180000,0.1129
neutral/rep0286,190000,0.1249
neutral/rep0286,200000,0.108
neutral/rep0286,210000,0.1169
neutral/rep0286,220000,0.1499
neutral/rep0286,230000,0.1656
neutral/rep0286,240000,0.1606
neutral/rep0286,250000,0.1291
neutral/rep0286,260000,0.1337
neutral/rep0286,270000,0.154
neutral/rep0286,280000,0.1525
neutral/rep0286,290000,0.1624
neutral/rep0286,300000,0.1413
neutral/rep0286,310000,0.1366
neutral/rep0286,320000,0.1089
neutral/rep0286,330000,0.1009
neutral/rep0286,340000,0.1312
neutral/rep0286,350000,0.2304
neutral/rep0286,360000,0.2697
neutral/rep0286,370000,0.2765
neutral/rep0286,380000,0.2326
neutral/rep0286,390000,0.1348
neutral/rep0286,400000,0.1218
neutral/rep0286,410000,0.1072
neutral/rep0286,420000,0.1145
neutral/rep0286,430000,0.1188
neutral/rep0286,440000,0.1229
neutral/rep0286,450000,0.1604
neutral/rep0286,460000,0.1671
neutral/rep0286,470000,0.1589
neutral/rep0286,480000,0.1504
neutral/rep0286,490000,0.1551
neutral/rep0286,500000,0.1588
neutral/rep0286,510000,0.1723
neutral/rep0286,520000,0.1702
neutral/rep0286,530000,0.2041
neutral/rep0286,540000,0.2424
neutral/rep0286,550000,0.3466
neutral/rep0286,560000,0.3363
neutral/rep0286,570000,0.324
neutral/rep0286,580000,0.2289
neutral/rep0286,590000,0.1925
neutral/rep0286,600000,0.1899
neutral/rep0286,610000,0.1699
neutral/rep0286,620000,0.2363
neutral/rep0286,630000,0.2368
neutral/rep0286,640000,0.2694
neutral/rep0286,650000,0.2919
neutral/rep0286,660000,0.2891
neutral/rep0286,670000,0.2732
neutral/rep0286,680000,0.1918
neutral/rep0286,690000,0.1995
neutral/rep0286,700000,0.2255
neutral/rep0286,710000,0.2212
neutral/rep0286,720000,0.2013
neutral/rep0286,730000,0.2035
neutral/rep0286,740000,0.1892
neutral/rep0286,750000,0.1958
neutral/rep0286,760000,0.1897
neutral/rep0286,770000,0.1843
neutral/rep0286,780000,0.1641
neutral/rep0286,790000,0.1727
neutral/rep0286,800000,0.165
neutral/rep0286,810000,0.1635
neutral/rep0286,820000,0.1691
neutral/rep0286,830000,0.166
neutral/rep0286,840000,0.1486
neutral/rep0286,850000,0.1582
neutral/rep0286,860000,0.1707
neutral/rep0286,870000,0.1602
neutral/rep0286,880000,0.1442
neutral/rep0286,890000,0.1933
neutral/rep0286,900000,0.1952
neutral/rep0286,910000,0.1991
neutral/rep0286,920000,0.1961
neutral/rep0286,930000,0.2081
neutral/rep0286,940000,0.2094
neutral/rep0286,950000,0.2858
neutral/rep0286,960000,0.3251
neutral/rep0286,970000,0.2879
neutral/rep0286,980000,0.3265
neutral/rep0286,990000,0.3254
neutral/rep0286,1000000,0.3238
neutral/rep0286,1010000,0.3342
neutral/rep0286,1020000,0.3154
neutral/rep0286,1030000,0.3086
neutral/rep0286,1040000,0.2792
neutral/rep0286,1050000,0.2673
neutral/rep0286,1060000,0.2067
neutral/rep0286,1070000,0.2064
neutral/rep0286,1080000,0.2026
neutral/rep0286,1090000,0.2152
